from_port,to_port,from_lat,from_lon,to_lat,to_lon,count,route_key
MONTEVIDEO,LA CORUÑA,-34.89,-56.21,43.36,-8.36,8742,"('LA CORUÑA', 'MONTEVIDEO')"
LA CORUÑA,MONTEVIDEO,43.36,-8.36,-34.89,-56.21,8513,"('LA CORUÑA', 'MONTEVIDEO')"
ROTTERDAM,BATAVIA,51.0,1.11,-6.1,106.86,7745,"('BATAVIA', 'ROTTERDAM')"
LA CORUÑA,LA HABANA,43.36,-8.36,23.48,-80.91,7523,"('LA CORUÑA', 'LA HABANA')"
LA HABANA,LA CORUÑA,23.48,-80.91,43.36,-8.36,6031,"('LA CORUÑA', 'LA HABANA')"
NEDERLAND,BATAVIA,52.0,5.0,-6.1,106.86,5989,"('BATAVIA', 'NEDERLAND')"
BATAVIA,ROTTERDAM,-6.1,106.86,51.0,1.11,5373,"('BATAVIA', 'ROTTERDAM')"
NIEUWEDIEP,BATAVIA,52.155,3.27,-6.1,106.86,5256,"('BATAVIA', 'NIEUWEDIEP')"
BATAVIA,NIEUWEDIEP,-6.1,106.86,52.155,3.27,4677,"('BATAVIA', 'NIEUWEDIEP')"
BATAVIA,NEDERLAND,-6.1,106.86,52.0,5.0,3533,"('BATAVIA', 'NEDERLAND')"
TEXEL,BATAVIA,52.615,4.175000000000001,-6.1,106.86,2548,"('BATAVIA', 'TEXEL')"
BATAVIA,TEXEL,-6.1,106.86,52.615,4.175000000000001,2279,"('BATAVIA', 'TEXEL')"
BATAVIA,HELLEVOETSLUIS,-6.1,106.86,51.81,4.08,2258,"('BATAVIA', 'HELLEVOETSLUIS')"
HELLEVOETSLUIS,BATAVIA,51.81,4.08,-6.1,106.86,2075,"('BATAVIA', 'HELLEVOETSLUIS')"
JAVA HEAD,DOWNS,-6.75,105.2,51.2,1.4,1678,"('DOWNS', 'JAVA HEAD')"
AMSTERDAM,BATAVIA,52.77,3.97,-6.1,106.86,1635,"('AMSTERDAM', 'BATAVIA')"
LA HABANA,CÁDIZ,23.48,-80.91,36.525000000000006,-6.41,1571,"('CÁDIZ', 'LA HABANA')"
BATAVIA,AMSTERDAM,-6.1,106.86,52.77,3.97,1496,"('AMSTERDAM', 'BATAVIA')"
MONTEVIDEO,CÁDIZ,-34.89,-56.21,36.525000000000006,-6.41,1407,"('CÁDIZ', 'MONTEVIDEO')"
BANJOEWANGIE,NIEUWEDIEP,-8.2,114.35,52.155,3.27,1398,"('BANJOEWANGIE', 'NIEUWEDIEP')"
TEXEL,KAAP DE GOEDE HOOP,52.615,4.175000000000001,-34.12,18.23,1302,"('KAAP DE GOEDE HOOP', 'TEXEL')"
DOWNS,BOMBAY,51.2,1.4,18.93,72.85,1242,"('BOMBAY', 'DOWNS')"
DOWNS,MADRAS,51.2,1.4,13.08,80.27,1185,"('DOWNS', 'MADRAS')"
BATAVIA,BROUWERSHAVEN,-6.1,106.86,51.75,3.9,1139,"('BATAVIA', 'BROUWERSHAVEN')"
CURACAO,HELLEVOETSLUIS,12.21,-68.34,51.81,4.08,1049,"('CURACAO', 'HELLEVOETSLUIS')"
NEDERLAND,JAVA,52.0,5.0,-7.5,110.0,959,"('JAVA', 'NEDERLAND')"
RIO DE JANEIRO,BATAVIA,-22.9,-43.16,-6.1,106.86,936,"('BATAVIA', 'RIO DE JANEIRO')"
SPITHEAD,MADRAS,50.525000000000006,-1.115,13.08,80.27,827,"('MADRAS', 'SPITHEAD')"
CÁDIZ,MONTEVIDEO,36.525000000000006,-6.41,-34.89,-56.21,824,"('CÁDIZ', 'MONTEVIDEO')"
BATAVIA,KAAP DE GOEDE HOOP,-6.1,106.86,-34.12,18.23,790,"('BATAVIA', 'KAAP DE GOEDE HOOP')"
JAMAICA,SPITHEAD,18.1,-77.3,50.525000000000006,-1.115,771,"('JAMAICA', 'SPITHEAD')"
JAVA HEAD,UK,-6.75,105.2,51.5,-0.1,754,"('JAVA HEAD', 'UK')"
SURINAME,MIDDELBURG,6.095000000000001,-54.485,51.5,3.6,743,"('MIDDELBURG', 'SURINAME')"
JAVA HEAD,ST HELENA,-6.75,105.2,-16.02,-5.08,733,"('JAVA HEAD', 'ST HELENA')"
TABLE BAY,SPITHEAD,-33.9,18.4,50.525000000000006,-1.115,729,"('SPITHEAD', 'TABLE BAY')"
SPITHEAD,TABLE BAY,50.525000000000006,-1.115,-33.9,18.4,696,"('SPITHEAD', 'TABLE BAY')"
NEDERLAND,SURINAME,52.0,5.0,6.095000000000001,-54.485,667,"('NEDERLAND', 'SURINAME')"
SPITHEAD,BARBADOS,50.525000000000006,-1.115,13.095,-58.93,660,"('BARBADOS', 'SPITHEAD')"
RAMMEKENS,CEYLON,51.45,3.65,6.85,82.1,656,"('CEYLON', 'RAMMEKENS')"
MIDDELBURG,CEYLON,51.5,3.6,6.85,82.1,647,"('CEYLON', 'MIDDELBURG')"
PORTSMOUTH,MADRAS,50.2,-1.58,13.08,80.27,621,"('MADRAS', 'PORTSMOUTH')"
EL CALLAO,CÁDIZ,-12.03,-77.16,36.525000000000006,-6.41,612,"('CÁDIZ', 'EL CALLAO')"
EL CALLAO (LIMA),CÁDIZ,-12.07,-77.15,36.525000000000006,-6.41,564,"('CÁDIZ', 'EL CALLAO (LIMA)')"
BATAVIA,ANTWERPEN,-6.1,106.86,51.22,4.4,553,"('ANTWERPEN', 'BATAVIA')"
ST HELENA,SPITHEAD,-16.02,-5.08,50.525000000000006,-1.115,538,"('SPITHEAD', 'ST HELENA')"
TABLE BAY,MADRAS,-33.9,18.4,13.08,80.27,533,"('MADRAS', 'TABLE BAY')"
MADEIRA,ST HELENA,32.95,-15.88,-16.02,-5.08,504,"('MADEIRA', 'ST HELENA')"
CURACAO,NEDERLAND,12.21,-68.34,52.0,5.0,465,"('CURACAO', 'NEDERLAND')"
MONTEVIDEO,CADIZ,-34.89,-56.21,36.53,-6.3,462,"('CADIZ', 'MONTEVIDEO')"
ROTTERDAM,MAKASSAR,51.0,1.11,-5.65,118.2,455,"('MAKASSAR', 'ROTTERDAM')"
BATAVIA,ZIERIKZEE,-6.1,106.86,50.775,0.8899999999999999,453,"('BATAVIA', 'ZIERIKZEE')"
BREST,MARTINIQUE,48.34,-5.385,15.65,-61.745000000000005,449,"('BREST', 'MARTINIQUE')"
NIEUWEDIEP,CALCUTTA,52.155,3.27,20.47,87.27,446,"('CALCUTTA', 'NIEUWEDIEP')"
PLYMOUTH,MADRAS,50.35,-4.16,13.08,80.27,439,"('MADRAS', 'PLYMOUTH')"
ANTWERPEN,BATAVIA,51.22,4.4,-6.1,106.86,439,"('ANTWERPEN', 'BATAVIA')"
PARAMARIBO,HELLEVOETSLUIS,5.83,-55.15,51.81,4.08,429,"('HELLEVOETSLUIS', 'PARAMARIBO')"
SURINAME,NEDERLAND,6.095000000000001,-54.485,52.0,5.0,429,"('NEDERLAND', 'SURINAME')"
HELLEVOETSLUIS,PARAMARIBO,51.81,4.08,5.83,-55.15,426,"('HELLEVOETSLUIS', 'PARAMARIBO')"
HELLEVOETSLUIS,SURINAME,51.81,4.08,6.095000000000001,-54.485,407,"('HELLEVOETSLUIS', 'SURINAME')"
JAVA HEAD,DOWNS UK,-6.75,105.2,51.2,1.4,403,"('DOWNS UK', 'JAVA HEAD')"
SOERABAIJA,NIEUWEDIEP,-7.23,112.7,52.155,3.27,395,"('NIEUWEDIEP', 'SOERABAIJA')"
PLYMOUTH,NEW ZEALAND,50.35,-4.16,-41.0,174.0,394,"('NEW ZEALAND', 'PLYMOUTH')"
CALLAO,CÁDIZ,-12.08,-77.93,36.525000000000006,-6.41,389,"('CALLAO', 'CÁDIZ')"
PLYMOUTH,BATAVIA,50.35,-4.16,-6.1,106.86,387,"('BATAVIA', 'PLYMOUTH')"
NEW YORK,BATAVIA,40.75,-73.97,-6.1,106.86,383,"('BATAVIA', 'NEW YORK')"
TABLE BAY,PLYMOUTH,-33.9,18.4,50.35,-4.16,377,"('PLYMOUTH', 'TABLE BAY')"
PADANG,AMSTERDAM,-1.095,100.375,52.77,3.97,373,"('AMSTERDAM', 'PADANG')"
RAMMEKENS,BATAVIA,51.45,3.65,-6.1,106.86,371,"('BATAVIA', 'RAMMEKENS')"
VLISSINGEN,BATAVIA,51.45,3.58,-6.1,106.86,369,"('BATAVIA', 'VLISSINGEN')"
TEXEL,SURINAME,52.615,4.175000000000001,6.095000000000001,-54.485,362,"('SURINAME', 'TEXEL')"
ST HELENA,UK,-16.02,-5.08,51.5,-0.1,361,"('ST HELENA', 'UK')"
SOERABAIJA,NEDERLAND,-7.23,112.7,52.0,5.0,358,"('NEDERLAND', 'SOERABAIJA')"
BATAVIA,RAMMEKENS,-6.1,106.86,51.45,3.65,353,"('BATAVIA', 'RAMMEKENS')"
SPITHEAD,NEW YORK,50.525000000000006,-1.115,40.75,-73.97,350,"('NEW YORK', 'SPITHEAD')"
ELMINA,SURINAME,5.08,-1.34,6.095000000000001,-54.485,347,"('ELMINA', 'SURINAME')"
MADRAS,SPITHEAD,13.08,80.27,50.525000000000006,-1.115,346,"('MADRAS', 'SPITHEAD')"
KAAP DE GOEDE HOOP,BATAVIA,-34.12,18.23,-6.1,106.86,326,"('BATAVIA', 'KAAP DE GOEDE HOOP')"
SPITHEAD,ST HELENA,50.525000000000006,-1.115,-16.02,-5.08,325,"('SPITHEAD', 'ST HELENA')"
ANTIGUA,SPITHEAD,17.12,-61.85,50.525000000000006,-1.115,323,"('ANTIGUA', 'SPITHEAD')"
PLYMOUTH,BARBADOS,50.35,-4.16,13.095,-58.93,322,"('BARBADOS', 'PLYMOUTH')"
CÁDIZ,VERACRUZ,36.525000000000006,-6.41,19.2,-96.1,320,"('CÁDIZ', 'VERACRUZ')"
ZIERIKZEE,BATAVIA,50.775,0.8899999999999999,-6.1,106.86,316,"('BATAVIA', 'ZIERIKZEE')"
BROUWERSHAVEN,BATAVIA,51.75,3.9,-6.1,106.86,312,"('BATAVIA', 'BROUWERSHAVEN')"
TAFELBAAI,BATAVIA,-34.225,18.175,-6.1,106.86,312,"('BATAVIA', 'TAFELBAAI')"
HELLEVOETSLUIS,RIO DE JANEIRO,51.81,4.08,-22.9,-43.16,312,"('HELLEVOETSLUIS', 'RIO DE JANEIRO')"
CORK,BARBADOS,51.35,-8.815,13.095,-58.93,307,"('BARBADOS', 'CORK')"
SPITHEAD,MADEIRA,50.525000000000006,-1.115,32.95,-15.88,304,"('MADEIRA', 'SPITHEAD')"
JAVA,NEDERLAND,-7.5,110.0,52.0,5.0,302,"('JAVA', 'NEDERLAND')"
CURACAO,TEXEL,12.21,-68.34,52.615,4.175000000000001,301,"('CURACAO', 'TEXEL')"
ROTTERDAM,JAVA,51.0,1.11,-7.5,110.0,299,"('JAVA', 'ROTTERDAM')"
BATAVIA,ST HELENA,-6.1,106.86,-16.02,-5.08,299,"('BATAVIA', 'ST HELENA')"
MANILA,CÁDIZ,14.15,120.5,36.525000000000006,-6.41,295,"('CÁDIZ', 'MANILA')"
SANTA CATALINA,CÁDIZ,-27.62,-48.58,36.525000000000006,-6.41,292,"('CÁDIZ', 'SANTA CATALINA')"
ST HELENA,DOWNS,-16.02,-5.08,51.2,1.4,291,"('DOWNS', 'ST HELENA')"
DOWNS,JAVA,51.2,1.4,-7.5,110.0,290,"('DOWNS', 'JAVA')"
ST HELENA,TABLE BAY,-16.02,-5.08,-33.9,18.4,289,"('ST HELENA', 'TABLE BAY')"
TABLE BAY,PORTSMOUTH,-33.9,18.4,50.2,-1.58,288,"('PORTSMOUTH', 'TABLE BAY')"
TEXEL,RIO DE JANEIRO,52.615,4.175000000000001,-22.9,-43.16,285,"('RIO DE JANEIRO', 'TEXEL')"
ST GEORGE D'ELMINA,BATAVIA,5.08,-1.34,-6.1,106.86,272,"('BATAVIA', ""ST GEORGE D'ELMINA"")"
UK,BOMBAY,51.5,-0.1,18.93,72.85,268,"('BOMBAY', 'UK')"
EL CALLAO,CADIZ,-12.03,-77.16,36.53,-6.3,267,"('CADIZ', 'EL CALLAO')"
TABLE BAY,ST HELENA,-33.9,18.4,-16.02,-5.08,263,"('ST HELENA', 'TABLE BAY')"
PLYMOUTH,ST HELENA,50.35,-4.16,-16.02,-5.08,262,"('PLYMOUTH', 'ST HELENA')"
BANJOEWANGIE,TEXEL,-8.2,114.35,52.615,4.175000000000001,256,"('BANJOEWANGIE', 'TEXEL')"
SOERABAIJA,ROTTERDAM,-7.23,112.7,51.0,1.11,256,"('ROTTERDAM', 'SOERABAIJA')"
SOERABAYA,ROTTERDAM,-7.23,112.7,51.0,1.11,255,"('ROTTERDAM', 'SOERABAYA')"
GRAVESEND,JAVA,51.44,0.37,-7.5,110.0,255,"('GRAVESEND', 'JAVA')"
ROCHEFORT,MARTINIQUE,46.515,-1.97,15.65,-61.745000000000005,252,"('MARTINIQUE', 'ROCHEFORT')"
POINT DE GALLE,DOWNS,6.03,80.22,51.2,1.4,251,"('DOWNS', 'POINT DE GALLE')"
BOMBAY,ST HELENA,18.93,72.85,-16.02,-5.08,250,"('BOMBAY', 'ST HELENA')"
SPITHEAD,FORT ST DAVID,50.525000000000006,-1.115,11.77,79.78,250,"('FORT ST DAVID', 'SPITHEAD')"
SURINAME,VLISSINGEN,6.095000000000001,-54.485,51.45,3.58,245,"('SURINAME', 'VLISSINGEN')"
BOMBAY,TABLE BAY,18.93,72.85,-33.9,18.4,241,"('BOMBAY', 'TABLE BAY')"
BARCELONA,CARTAGENA,41.39,2.17,10.4,-75.5,241,"('BARCELONA', 'CARTAGENA')"
MONTEVIDEO,SANTA CATALINA,-34.89,-56.21,-27.62,-48.58,241,"('MONTEVIDEO', 'SANTA CATALINA')"
CÁDIZ,MANILA,36.525000000000006,-6.41,14.15,120.5,240,"('CÁDIZ', 'MANILA')"
MADRAS,UK,13.08,80.27,51.5,-0.1,236,"('MADRAS', 'UK')"
JAVA,TEXEL,-7.5,110.0,52.615,4.175000000000001,233,"('JAVA', 'TEXEL')"
PORTSMOUTH,BOMBAY,50.2,-1.58,18.93,72.85,231,"('BOMBAY', 'PORTSMOUTH')"
MARTINIQUE,BREST,15.65,-61.745000000000005,48.34,-5.385,227,"('BREST', 'MARTINIQUE')"
NEDERLAND,PADANG,52.0,5.0,-1.095,100.375,225,"('NEDERLAND', 'PADANG')"
TABLE BAY,UK,-33.9,18.4,51.5,-0.1,224,"('TABLE BAY', 'UK')"
ST EUSTATIUS,TEXEL,17.5,-62.97,52.615,4.175000000000001,224,"('ST EUSTATIUS', 'TEXEL')"
JAVA HEAD,PORTSMOUTH,-6.75,105.2,50.2,-1.58,223,"('JAVA HEAD', 'PORTSMOUTH')"
JAVA,ROTTERDAM,-7.5,110.0,51.0,1.11,221,"('JAVA', 'ROTTERDAM')"
GRAVESEND,BOMBAY,51.44,0.37,18.93,72.85,220,"('BOMBAY', 'GRAVESEND')"
ROTTERDAM,SURINAME,51.0,1.11,6.095000000000001,-54.485,219,"('ROTTERDAM', 'SURINAME')"
TABLE BAY,DOWNS,-33.9,18.4,51.2,1.4,214,"('DOWNS', 'TABLE BAY')"
GRAVESEND,MADRAS,51.44,0.37,13.08,80.27,212,"('GRAVESEND', 'MADRAS')"
MIDDELBURG,BATAVIA,51.5,3.6,-6.1,106.86,211,"('BATAVIA', 'MIDDELBURG')"
PLYMOUTH,MADEIRA,50.35,-4.16,32.95,-15.88,209,"('MADEIRA', 'PLYMOUTH')"
AMSTERDAM,SPITSBERGEN,52.77,3.97,60.39,5.32,209,"('AMSTERDAM', 'SPITSBERGEN')"
CURACAO,PARAMARIBO,12.21,-68.34,5.83,-55.15,208,"('CURACAO', 'PARAMARIBO')"
JAVA HEAD,GRAVESEND,-6.75,105.2,51.44,0.37,206,"('GRAVESEND', 'JAVA HEAD')"
MADEIRA,MADRAS,32.95,-15.88,13.08,80.27,206,"('MADEIRA', 'MADRAS')"
GOTHENBURG,MACAO,57.71,11.97,22.17,113.54,205,"('GOTHENBURG', 'MACAO')"
NIEUWEDIEP,SURINAME,52.155,3.27,6.095000000000001,-54.485,205,"('NIEUWEDIEP', 'SURINAME')"
LIVERPOOL,BATAVIA,53.2,-4.63,-6.1,106.86,205,"('BATAVIA', 'LIVERPOOL')"
KAAP DE GOEDE HOOP,VLISSINGEN,-34.12,18.23,51.45,3.58,203,"('KAAP DE GOEDE HOOP', 'VLISSINGEN')"
PARAMARIBO,VLISSINGEN,5.83,-55.15,51.45,3.58,203,"('PARAMARIBO', 'VLISSINGEN')"
ELMINA,PARAMARIBO,5.08,-1.34,5.83,-55.15,203,"('ELMINA', 'PARAMARIBO')"
MIDDELBURG,COLOMBO,51.5,3.6,6.91,79.86,201,"('COLOMBO', 'MIDDELBURG')"
SANTA CATALINA,MONTEVIDEO,-27.62,-48.58,-34.89,-56.21,200,"('MONTEVIDEO', 'SANTA CATALINA')"
SURINAME,NIEUWEDIEP,6.095000000000001,-54.485,52.155,3.27,200,"('NIEUWEDIEP', 'SURINAME')"
CÁDIZ,CALLAO DE LIMA,36.525000000000006,-6.41,-12.07,-77.15,199,"('CALLAO DE LIMA', 'CÁDIZ')"
MADRAS,TABLE BAY,13.08,80.27,-33.9,18.4,196,"('MADRAS', 'TABLE BAY')"
FALMOUTH,JAVA,50.15,-5.07,-7.5,110.0,195,"('FALMOUTH', 'JAVA')"
ST THOMAS,BARBADOS,17.96,-65.14500000000001,13.095,-58.93,194,"('BARBADOS', 'ST THOMAS')"
BATAVIA,VLISSINGEN,-6.1,106.86,51.45,3.58,193,"('BATAVIA', 'VLISSINGEN')"
AKIJAB,NIEUWEDIEP,19.87,92.5,52.155,3.27,191,"('AKIJAB', 'NIEUWEDIEP')"
CORK,PENANG VIA FUNCHAL AND TABLE BAY,51.35,-8.815,-33.9,18.4,189,"('CORK', 'PENANG VIA FUNCHAL AND TABLE BAY')"
JAVA HEAD,DOWNS VIA ST HELENA,-6.75,105.2,51.2,1.4,188,"('DOWNS VIA ST HELENA', 'JAVA HEAD')"
ROCHEFORT,LOUISBOURG,46.515,-1.97,46.22,-59.29,187,"('LOUISBOURG', 'ROCHEFORT')"
VERACRUZ,LA HABANA,19.2,-96.1,23.48,-80.91,186,"('LA HABANA', 'VERACRUZ')"
SURINAME,CURACAO,6.095000000000001,-54.485,12.21,-68.34,185,"('CURACAO', 'SURINAME')"
VLISSINGEN,KAAP DE GOEDE HOOP,51.45,3.58,-34.12,18.23,184,"('KAAP DE GOEDE HOOP', 'VLISSINGEN')"
MARTINIQUE,ROCHEFORT,15.65,-61.745000000000005,46.515,-1.97,184,"('MARTINIQUE', 'ROCHEFORT')"
TEXEL,PADANG,52.615,4.175000000000001,-1.095,100.375,182,"('PADANG', 'TEXEL')"
MIDDELBURG,KAAP DE GOEDE HOOP,51.5,3.6,-34.12,18.23,181,"('KAAP DE GOEDE HOOP', 'MIDDELBURG')"
MADRAS,ST HELENA,13.08,80.27,-16.02,-5.08,180,"('MADRAS', 'ST HELENA')"
BATAVIA,MIDDELBURG,-6.1,106.86,51.5,3.6,179,"('BATAVIA', 'MIDDELBURG')"
PORTSMOUTH,CANTON VIA AUSTRALIA,50.2,-1.58,23.13,113.27,178,"('CANTON VIA AUSTRALIA', 'PORTSMOUTH')"
PARAMARIBO,MIDDELBURG,5.83,-55.15,51.5,3.6,177,"('MIDDELBURG', 'PARAMARIBO')"
CALCUTTA,BATAVIA,20.47,87.27,-6.1,106.86,177,"('BATAVIA', 'CALCUTTA')"
ST GEORGE D'ELMINA,SURINAME,5.08,-1.34,6.095000000000001,-54.485,176,"(""ST GEORGE D'ELMINA"", 'SURINAME')"
PADANG,TEXEL,-1.095,100.375,52.615,4.175000000000001,175,"('PADANG', 'TEXEL')"
KAAPSTAD,BATAVIA,-34.68,18.12,-6.1,106.86,174,"('BATAVIA', 'KAAPSTAD')"
GRAVESEND UK,BOMBAY,51.5,-0.1,18.93,72.85,173,"('BOMBAY', 'GRAVESEND UK')"
MACAO,GOTHENBURG,22.17,113.54,57.71,11.97,173,"('GOTHENBURG', 'MACAO')"
LISBON,SPITHEAD,38.68,-9.1,50.525000000000006,-1.115,172,"('LISBON', 'SPITHEAD')"
HELLEVOETSLUIS,ST EUSTACIUS,51.81,4.08,17.5,-62.97,171,"('HELLEVOETSLUIS', 'ST EUSTACIUS')"
CADIZ,LA HABANA,36.53,-6.3,23.48,-80.91,170,"('CADIZ', 'LA HABANA')"
JAVA HEAD,FALMOUTH,-6.75,105.2,50.15,-5.07,170,"('FALMOUTH', 'JAVA HEAD')"
ST HELENA,MADRAS,-16.02,-5.08,13.08,80.27,170,"('MADRAS', 'ST HELENA')"
CAP,BREST,19.74,-72.19,48.34,-5.385,167,"('BREST', 'CAP')"
RAMMEKENS,KAAP DE GOEDE HOOP,51.45,3.65,-34.12,18.23,167,"('KAAP DE GOEDE HOOP', 'RAMMEKENS')"
ROTTERDAM,SPITSBERGEN,51.0,1.11,60.39,5.32,164,"('ROTTERDAM', 'SPITSBERGEN')"
CANTON,GOTHENBURG,19.98,113.85,57.71,11.97,164,"('CANTON', 'GOTHENBURG')"
PORTSMOUTH,BATAVIA,50.2,-1.58,-6.1,106.86,163,"('BATAVIA', 'PORTSMOUTH')"
SPITHEAD,JAMAICA,50.525000000000006,-1.115,18.1,-77.3,161,"('JAMAICA', 'SPITHEAD')"
BREST,LOUISBOURG,48.34,-5.385,46.22,-59.29,159,"('BREST', 'LOUISBOURG')"
GOTHENBURG,CANTON,57.71,11.97,19.98,113.85,158,"('CANTON', 'GOTHENBURG')"
ST HELENA,PLYMOUTH,-16.02,-5.08,50.35,-4.16,158,"('PLYMOUTH', 'ST HELENA')"
RAMMEKENS,COLOMBO,51.45,3.65,6.91,79.86,158,"('COLOMBO', 'RAMMEKENS')"
ROTTERDAM,COLOMBO,51.0,1.11,6.91,79.86,157,"('COLOMBO', 'ROTTERDAM')"
PARAMARIBO,CURACAO,5.83,-55.15,12.21,-68.34,156,"('CURACAO', 'PARAMARIBO')"
MONTEVIDEO,LA HABANA,-34.89,-56.21,23.48,-80.91,156,"('LA HABANA', 'MONTEVIDEO')"
LOUISBOURG,ROCHEFORT,46.22,-59.29,46.515,-1.97,155,"('LOUISBOURG', 'ROCHEFORT')"
MADEIRA,RIO DE JANEIRO,32.95,-15.88,-22.9,-43.16,153,"('MADEIRA', 'RIO DE JANEIRO')"
PORTSMOUTH,ST HELENA,50.2,-1.58,-16.02,-5.08,153,"('PORTSMOUTH', 'ST HELENA')"
FALMOUTH,TABLE BAY,50.15,-5.07,-33.9,18.4,152,"('FALMOUTH', 'TABLE BAY')"
PLYMOUTH,TABLE BAY,50.35,-4.16,-33.9,18.4,152,"('PLYMOUTH', 'TABLE BAY')"
NEDERLAND,ST GEORGE D'ELMINA,52.0,5.0,5.08,-1.34,151,"('NEDERLAND', ""ST GEORGE D'ELMINA"")"
PENANG,DOWNS VIA ST HELENA,5.42,100.32,51.2,1.4,151,"('DOWNS VIA ST HELENA', 'PENANG')"
TABLE BAY,LISBON,-33.9,18.4,38.68,-9.1,151,"('LISBON', 'TABLE BAY')"
CURAÇAO,SURINAME,12.34,-68.5,6.095000000000001,-54.485,150,"('CURAÇAO', 'SURINAME')"
